interaction_id,contact_id,interaction_date,interaction_type,details
169,003XX00000vZnemR7d,2020-08-04,phone_call,Follow-up on lapsed donor reengagement
170,003XX00000vZnemR7d,2024-05-27,mail_sent,Holiday card
171,003XX00000vZnemR7d,2022-07-06,meeting,Cultivation lunch
172,003XX00000vZnemR7d,2025-11-29,meeting,Introductory meeting with development director
173,003XX00000vZnemR7d,2024-05-05,meeting,Cultivation lunch
174,003XX00000FYcOkDRl,2020-05-19,email_click,
175,003XX00000FYcOkDRl,2022-01-18,mail_sent,Planned giving brochure
176,003XX00000FYcOkDRl,2023-02-22,email_open,Annual Fund thank-you
177,003XX00000FYcOkDRl,2020-05-02,meeting,Phone meeting rescheduled
178,003XX00000FYcOkDRl,2025-10-30,phone_call,Left voicemail
179,003XX00000FYcOkDRl,2025-03-04,email_open,Annual Fund thank-you
180,003XX00000FYcOkDRl,2021-08-18,mail_sent,Annual Fund appeal letter
181,003XX00000K9tSUzhr,2022-01-28,meeting,Stewardship call – discussed giving impact
182,003XX00000K9tSUzhr,2023-05-18,email_click,
183,003XX00000K9tSUzhr,2022-12-14,email_click,Clicked journal article link
184,003XX00000K9tSUzhr,2022-10-20,mail_sent,Hedgehog Review print copy
185,003XX00000K9tSUzhr,2020-09-09,event_attended,Spring Gala 2023
186,003XX000009dX7chhp,2024-07-10,event_attended,Virtual Symposium on Culture & Democracy
187,003XX000009dX7chhp,2020-05-14,mail_sent,Holiday card
188,003XX000009dX7chhp,2024-03-14,meeting,Cultivation lunch
189,003XX000009dX7chhp,2022-02-19,phone_call,Outreach about Planned Giving Society
190,003XX000009dX7chhp,2020-08-19,email_click,Clicked event registration link
191,003XX000009dX7chhp,2023-04-16,email_open,
192,003XX000009dX7chhp,2024-04-14,email_open,Annual Fund thank-you
193,003XX000009dX7chhp,2023-04-26,event_attended,Book Launch event
194,003XX000009dX7chhp,2025-06-20,mail_sent,Annual Fund appeal letter
195,003XX000009dX7chhp,2024-01-11,mail_sent,Hedgehog Review print copy
196,003XX000009dX7chhp,2020-03-15,email_click,
197,003XX000009dX7chhp,2023-06-03,phone_call,
198,003XX00000PpgnDZsG,2025-06-09,meeting,Introductory meeting with development director
199,003XX00000PpgnDZsG,2026-01-23,email_click,
200,003XX00000PpgnDZsG,2022-05-20,meeting,Cultivation lunch
201,003XX00000PpgnDZsG,2025-08-30,event_attended,Virtual Symposium on Culture & Democracy
202,003XX00000PpgnDZsG,2022-06-22,email_open,Journal issue announcement
203,003XX00000PpgnDZsG,2021-11-17,email_open,
204,003XX00000PpgnDZsG,2020-07-11,event_attended,Spring Gala 2023
205,003XX00000g3IfQyUt,2022-08-11,meeting,Cultivation lunch
206,003XX00000g3IfQyUt,2023-08-07,phone_call,Thank-you call after Year-End gift
207,003XX00000g3IfQyUt,2023-02-08,phone_call,Left voicemail
208,003XX000007dc9Xr4u,2022-10-23,email_open,Spring fundraising newsletter
209,003XX000007dc9Xr4u,2022-02-06,email_open,Spring fundraising newsletter
210,003XX000007dc9Xr4u,2023-12-16,mail_sent,Annual Fund appeal letter
211,003XX000007dc9Xr4u,2024-11-13,event_attended,Spring Gala 2022
212,003XX000007dc9Xr4u,2023-03-13,mail_sent,Annual Fund appeal letter
213,003XX00000BZvv8oa9,2024-03-17,mail_sent,Annual Fund appeal letter
214,003XX000009O4jjvyO,2024-12-27,email_click,Clicked journal article link
215,003XX000009O4jjvyO,2023-05-15,meeting,Cultivation lunch
216,003XX000009O4jjvyO,2024-01-09,meeting,Introductory meeting with development director
217,003XX000009O4jjvyO,2022-03-26,meeting,Major gift conversation – preliminary
218,003XX000009O4jjvyO,2024-05-01,email_click,Clicked event registration link
219,003XX000009O4jjvyO,2025-11-18,meeting,Introductory meeting with development director
220,003XX00000jPi6Uves,2021-09-27,phone_call,Thank-you call after Year-End gift
221,003XX00000jPi6Uves,2022-01-10,meeting,Stewardship call – discussed giving impact
222,003XX00000jPi6Uves,2024-04-01,email_open,Annual Fund thank-you
223,003XX00000jPi6Uves,2023-11-16,phone_call,Left voicemail
224,003XX00000PVxE7cPr,2024-10-02,email_click,Clicked journal article link
225,003XX00000PVxE7cPr,2021-08-25,email_click,Clicked event registration link
226,003XX00000PVxE7cPr,2025-01-20,email_open,Journal issue announcement
227,003XX00000PVxE7cPr,2020-07-17,phone_call,Thank-you call after Year-End gift
228,003XX000005Sij0phX,2020-03-06,meeting,Cultivation lunch
229,003XX000005Sij0phX,2024-12-07,event_attended,Spring Gala 2022
230,003XX00000biZBVFlU,2023-11-10,meeting,Cultivation lunch
231,003XX00000biZBVFlU,2024-08-08,email_click,Clicked donate button
232,003XX00000biZBVFlU,2020-04-09,meeting,Introductory meeting with development director
233,003XX00000biZBVFlU,2023-01-17,event_attended,Homecoming Reception 2023
234,003XX00000biZBVFlU,2021-08-06,mail_sent,Holiday card
235,003XX00000biZBVFlU,2021-08-19,phone_call,Left voicemail
236,003XX00000biZBVFlU,2021-01-24,email_click,Clicked donate button
237,003XX00000biZBVFlU,2020-07-27,event_attended,Homecoming Reception 2023
238,003XX00000biZBVFlU,2021-04-07,event_attended,Spring Gala 2022
239,003XX00000biZBVFlU,2020-02-03,mail_sent,Holiday card
240,003XX000008wURwW5M,2024-01-12,mail_sent,Stewardship impact report
241,003XX00000YvkfVBGZ,2022-03-08,email_open,Year-End Appeal 2023
242,003XX00000YvkfVBGZ,2023-02-14,phone_call,Left voicemail
243,003XX00000YvkfVBGZ,2022-05-15,email_open,Annual event invitation
244,003XX00000YvkfVBGZ,2025-05-10,event_attended,Spring Gala 2022
245,003XX00000MuyDG2LU,2021-01-20,phone_call,
246,003XX00000MuyDG2LU,2022-06-19,phone_call,Thank-you call after Year-End gift
247,003XX00000qZ0eFBvS,2022-06-07,event_attended,Homecoming Reception 2023
248,003XX00000qZ0eFBvS,2023-09-01,meeting,Cultivation lunch
249,003XX00000qZ0eFBvS,2023-05-15,email_click,Clicked donate button
250,003XX00000qZ0eFBvS,2021-08-08,email_click,Clicked donate button
251,003XX00000qZ0eFBvS,2022-03-16,phone_call,Thank-you call after Year-End gift
252,003XX00000qZ0eFBvS,2022-05-25,meeting,Stewardship call – discussed giving impact
253,003XX00000qZ0eFBvS,2022-12-06,event_attended,Spring Gala 2022
254,003XX00000jhlK8Sj7,2023-08-10,email_click,Clicked event registration link
255,003XX00000ejQZcn2F,2023-02-10,meeting,Stewardship call – discussed giving impact
256,003XX00000ejQZcn2F,2020-06-16,mail_sent,Stewardship impact report
257,003XX000002S22FWFp,2025-07-25,event_attended,Homecoming Reception 2023
258,003XX000002S22FWFp,2024-07-22,event_attended,Spring Gala 2022
259,003XX000002S22FWFp,2023-07-16,phone_call,Outreach about Planned Giving Society
260,003XX000002S22FWFp,2022-07-07,email_click,Clicked donate button
261,003XX000002S22FWFp,2023-12-19,email_click,Clicked journal article link
262,003XX000002S22FWFp,2020-08-29,email_click,Clicked journal article link
263,003XX000002S22FWFp,2024-02-28,mail_sent,Hedgehog Review print copy
264,003XX000002S22FWFp,2025-09-30,event_attended,Virtual Symposium on Culture & Democracy
265,003XX000002S22FWFp,2022-07-09,meeting,Introductory meeting with development director
266,003XX000002S22FWFp,2026-02-17,meeting,Major gift conversation – preliminary
267,003XX000002S22FWFp,2024-06-14,mail_sent,Planned giving brochure
268,003XX000002S22FWFp,2024-07-21,email_open,Annual Fund thank-you
269,003XX000002S22FWFp,2023-04-08,event_attended,Homecoming Reception 2023
270,003XX000002S22FWFp,2020-04-14,event_attended,Spring Gala 2023
271,003XX000002S22FWFp,2025-03-11,mail_sent,Stewardship impact report
272,003XX00000mJZq1FGu,2020-08-04,email_click,Clicked event registration link
273,003XX00000EQCDwfmf,2023-12-09,phone_call,Outreach about Planned Giving Society
274,003XX00000EQCDwfmf,2021-01-22,event_attended,Spring Gala 2023
275,003XX00000EQCDwfmf,2021-06-06,email_click,Clicked journal article link
276,003XX00000EQCDwfmf,2020-11-29,phone_call,Left voicemail
277,003XX00000EQCDwfmf,2025-01-13,phone_call,Left voicemail
278,003XX00000EQCDwfmf,2021-01-23,email_click,Clicked journal article link
279,003XX00000EQCDwfmf,2023-08-07,event_attended,Spring Gala 2023
280,003XX00000EQCDwfmf,2025-07-21,event_attended,Virtual Symposium on Culture & Democracy
281,003XX00000DsjEcWej,2025-08-15,email_click,Clicked journal article link
282,003XX00000DsjEcWej,2024-12-25,mail_sent,Holiday card
283,003XX000001vTFcWSw,2020-07-31,mail_sent,Hedgehog Review print copy
284,003XX000001vTFcWSw,2022-09-15,phone_call,
285,003XX000001vTFcWSw,2020-01-13,email_open,
286,003XX000001vTFcWSw,2023-10-15,email_open,Spring fundraising newsletter
287,003XX000001vTFcWSw,2024-09-13,mail_sent,Annual Fund appeal letter
288,003XX00000cukfnYkD,2020-08-18,meeting,Phone meeting rescheduled
289,003XX00000cukfnYkD,2025-08-24,phone_call,
290,003XX00000cukfnYkD,2021-10-22,phone_call,
291,003XX00000GGbTHWvc,2025-01-05,event_attended,Spring Gala 2022
292,003XX00000GGbTHWvc,2025-09-11,email_open,Journal issue announcement
293,003XX00000TQBlByRy,2023-10-06,email_open,
294,003XX00000TQBlByRy,2024-06-05,email_open,Annual event invitation
295,003XX00000TQBlByRy,2021-04-23,email_open,Annual Fund thank-you
296,003XX00000TQBlByRy,2022-04-15,event_attended,Homecoming Reception 2023
297,003XX00000TQBlByRy,2021-07-12,meeting,Major gift conversation – preliminary
298,003XX00000TQBlByRy,2023-02-01,email_open,
299,003XX00000TQBlByRy,2022-06-19,event_attended,Spring Gala 2023
300,003XX00000TQBlByRy,2022-07-04,event_attended,Spring Gala 2022
301,003XX00000TQBlByRy,2020-12-26,phone_call,Outreach about Planned Giving Society
302,003XX00000TQBlByRy,2023-09-24,email_click,Clicked journal article link
303,003XX00000TQBlByRy,2021-04-05,event_attended,Spring Gala 2022
304,003XX00000TQBlByRy,2024-09-02,meeting,Stewardship call – discussed giving impact
305,003XX00000s40UBk4w,2022-04-29,email_open,Journal issue announcement
306,003XX00000K2Frn2bQ,2022-03-10,email_click,Clicked event registration link
307,003XX00000K2Frn2bQ,2025-07-01,event_attended,Spring Gala 2022
308,003XX00000K2Frn2bQ,2021-01-25,mail_sent,Holiday card
309,003XX00000K2Frn2bQ,2025-12-29,mail_sent,Holiday card
310,003XX00000laDU8Zi5,2024-05-24,meeting,Phone meeting rescheduled
311,003XX00000laDU8Zi5,2023-01-07,email_click,Clicked donate button
312,003XX00000laDU8Zi5,2022-11-23,event_attended,Book Launch event
313,003XX00000jdKYmqYY,2023-10-19,email_click,Clicked journal article link
314,003XX00000jdKYmqYY,2022-08-29,meeting,Cultivation lunch
315,003XX00000jdKYmqYY,2020-11-04,meeting,Major gift conversation – preliminary
316,003XX00000jdKYmqYY,2025-09-05,event_attended,Spring Gala 2022
317,003XX00000jdKYmqYY,2025-01-25,meeting,Stewardship call – discussed giving impact
318,003XX00000jdKYmqYY,2023-02-06,meeting,Stewardship call – discussed giving impact
319,003XX00000jdKYmqYY,2020-04-12,event_attended,Spring Gala 2023
320,003XX00000jdKYmqYY,2023-10-07,mail_sent,Stewardship impact report
321,003XX00000Pc4rQzfn,2025-03-28,email_click,
322,003XX00000Pc4rQzfn,2023-12-07,event_attended,Homecoming Reception 2023
323,003XX00000Pc4rQzfn,2024-11-15,phone_call,Outreach about Planned Giving Society
324,003XX00000Pc4rQzfn,2025-02-13,event_attended,Book Launch event
325,003XX00000cNSgmkA9,2020-10-02,mail_sent,Annual Fund appeal letter
326,003XX00000cNSgmkA9,2021-10-17,meeting,Stewardship call – discussed giving impact
327,003XX00000cNSgmkA9,2024-03-31,email_click,Clicked donate button
328,003XX00000cNSgmkA9,2023-11-05,email_click,Clicked donate button
329,003XX00000cNSgmkA9,2022-07-23,email_open,Journal issue announcement
330,003XX00000cNSgmkA9,2025-09-27,phone_call,
331,003XX00000cNSgmkA9,2023-06-21,mail_sent,Annual Fund appeal letter
332,003XX00000cNSgmkA9,2022-07-24,meeting,Stewardship call – discussed giving impact
333,003XX00000cNSgmkA9,2022-12-19,phone_call,Thank-you call after Year-End gift
334,003XX00000cNSgmkA9,2023-02-09,mail_sent,Annual Fund appeal letter
335,003XX00000cNSgmkA9,2021-08-06,meeting,Major gift conversation – preliminary
336,003XX00000cNSgmkA9,2022-10-10,meeting,Stewardship call – discussed giving impact
337,003XX00000cNSgmkA9,2020-03-02,event_attended,Spring Gala 2023
338,003XX00000cNSgmkA9,2025-06-12,mail_sent,Holiday card
339,003XX00000cNSgmkA9,2022-04-17,phone_call,Thank-you call after Year-End gift
340,003XX00000cNSgmkA9,2023-12-20,event_attended,Spring Gala 2022
341,003XX00000Sdtsi463,2026-01-02,email_click,
342,003XX00000Sdtsi463,2022-07-11,email_open,Year-End Appeal 2023
343,003XX00000Sdtsi463,2023-11-02,meeting,Introductory meeting with development director
344,003XX00000AQvKvevF,2024-02-27,meeting,Cultivation lunch
345,003XX00000AQvKvevF,2024-03-15,email_click,
346,003XX00000AQvKvevF,2023-05-30,mail_sent,Holiday card
347,003XX00000AQvKvevF,2020-07-05,mail_sent,Planned giving brochure
348,003XX00000AQvKvevF,2025-11-15,email_click,Clicked event registration link
349,003XX00000AQvKvevF,2022-04-07,mail_sent,Annual Fund appeal letter
350,003XX00000tItkKWoC,2021-07-26,email_click,Clicked journal article link
351,003XX00000tItkKWoC,2022-01-29,phone_call,Left voicemail
352,003XX00000SCeM5UAp,2020-08-29,phone_call,Follow-up on lapsed donor reengagement
353,003XX00000SCeM5UAp,2023-07-14,email_open,Journal issue announcement
354,003XX00000SCeM5UAp,2025-09-23,mail_sent,Stewardship impact report
355,003XX00000SCeM5UAp,2020-12-07,event_attended,Spring Gala 2022
356,003XX00000HrD6JZkx,2024-05-07,event_attended,Spring Gala 2023
357,003XX00000HrD6JZkx,2020-02-21,phone_call,Thank-you call after Year-End gift
358,003XX00000HrD6JZkx,2021-11-24,email_open,Journal issue announcement
359,003XX00000HrD6JZkx,2024-03-05,phone_call,Thank-you call after Year-End gift
360,003XX00000HrD6JZkx,2021-03-15,event_attended,Spring Gala 2023
361,003XX00000HrD6JZkx,2024-12-30,email_open,Year-End Appeal 2023
362,003XX00000HrD6JZkx,2025-08-10,event_attended,Book Launch event
363,003XX00000HrD6JZkx,2023-01-18,mail_sent,Planned giving brochure
364,003XX000008DNnZOcx,2024-07-13,meeting,Stewardship call – discussed giving impact
365,003XX000008DNnZOcx,2023-09-11,mail_sent,Stewardship impact report
366,003XX00000IssGlL5Y,2021-03-11,event_attended,Homecoming Reception 2023
367,003XX00000IssGlL5Y,2020-08-16,mail_sent,Hedgehog Review print copy
368,003XX00000IssGlL5Y,2022-12-30,email_click,Clicked event registration link
369,003XX00000IssGlL5Y,2021-04-03,event_attended,Book Launch event
370,003XX00000Sr1s6nMm,2026-01-22,phone_call,Outreach about Planned Giving Society
371,003XX00000Sr1s6nMm,2020-05-16,event_attended,Book Launch event
372,003XX00000Sr1s6nMm,2021-05-28,meeting,Introductory meeting with development director
373,003XX00000Sr1s6nMm,2024-05-06,event_attended,Homecoming Reception 2023
374,003XX00000Sr1s6nMm,2020-01-24,event_attended,Virtual Symposium on Culture & Democracy
