gift_id,contact_id,gift_date,amount,gift_type,campaign
42,003XX00000NTGsUJC4,2009-11-09,50,recurring,
43,003XX00000NTGsUJC4,2010-10-11,25,planned_giving,Year-End Appeal 2022
44,003XX00000NTGsUJC4,2011-07-19,20.0,recurring,Year-End Appeal 2024
45,003XX00000NTGsUJC4,2012-11-11,20.0,one_time,Major Gift Initiative 2022
46,003XX00000n8PBwVtm,2009-11-17,20.0,recurring,Year-End Appeal 2023
47,003XX00000n8PBwVtm,2011-03-23,50,recurring,
48,003XX00000jgYoPHte,2023-01-29,125,one_time,
49,003XX00000vZnemR7d,2018-10-02,75,recurring,Spring Appeal 2023
50,003XX00000vZnemR7d,2018-12-07,40,recurring,
51,003XX00000vZnemR7d,2020-11-24,75,one_time,
52,003XX00000vZnemR7d,2021-10-07,125,one_time,Year-End Appeal 2022
53,003XX00000FYcOkDRl,2018-05-03,30,recurring,Year-End Appeal 2024
54,003XX00000FYcOkDRl,2018-05-03,20.0,event,Year-End Appeal 2023
55,003XX00000FYcOkDRl,2018-05-03,20.0,planned_giving,Annual Fund 2021
56,003XX000009dX7chhp,2021-08-26,45,one_time,Annual Fund 2021
57,003XX000009dX7chhp,2022-08-06,30,one_time,Spring Gala 2022
58,003XX000009dX7chhp,2022-10-04,20.0,one_time,Spring Gala 2022
59,003XX000009dX7chhp,2023-11-25,50,recurring,Spring Gala 2022
60,003XX000009dX7chhp,2024-01-03,20.0,event,Major Gift Initiative 2022
61,003XX00000g3IfQyUt,2021-03-17,20.0,one_time,Spring Gala 2022
62,003XX00000g3IfQyUt,2021-10-15,20.0,event,
63,003XX00000g3IfQyUt,2021-10-18,20.0,one_time,Annual Fund 2023
64,003XX00000g3IfQyUt,2022-03-12,20.0,recurring,Spring Gala 2022
65,003XX000007dc9Xr4u,2014-06-17,20.0,recurring,
66,003XX000007dc9Xr4u,2015-10-18,20.0,one_time,Year-End Appeal 2022
67,003XX000007dc9Xr4u,2016-03-28,20.0,recurring,
68,003XX000007dc9Xr4u,2017-05-02,20.0,one_time,
69,003XX000007dc9Xr4u,2019-11-28,20.0,recurring,Spring Gala 2023
70,003XX00000BZvv8oa9,2019-04-08,20.0,recurring,Major Gift Initiative 2022
71,003XX00000BZvv8oa9,2019-10-18,20.0,event,Spring Appeal 2023
72,003XX00000BZvv8oa9,2021-12-18,20.0,event,Spring Appeal 2023
73,003XX00000BZvv8oa9,2022-03-13,20.0,event,
74,003XX00000BZvv8oa9,2022-05-07,20.0,one_time,
75,003XX000009O4jjvyO,2017-08-23,35,one_time,
76,003XX000009O4jjvyO,2017-08-23,25,recurring,Year-End Appeal 2024
77,003XX000009O4jjvyO,2017-10-09,400,one_time,Major Gift Initiative 2022
78,003XX000009O4jjvyO,2017-11-24,25,recurring,Annual Fund 2020
79,003XX000009O4jjvyO,2018-06-05,75,one_time,Annual Fund 2021
80,003XX000009O4jjvyO,2018-11-07,35,one_time,Spring Appeal 2022
81,003XX000009O4jjvyO,2019-05-28,25,one_time,Planned Giving Society
82,003XX000009O4jjvyO,2019-10-07,75,recurring,Annual Fund 2023
83,003XX000009O4jjvyO,2019-10-09,20.0,recurring,Major Gift Initiative 2022
84,003XX000009O4jjvyO,2020-03-04,35,recurring,Spring Appeal 2023
85,003XX000009O4jjvyO,2020-09-24,35,event,Spring Appeal 2024
86,003XX000009O4jjvyO,2020-09-24,100,one_time,Annual Fund 2020
87,003XX000009O4jjvyO,2020-09-24,30,one_time,Spring Appeal 2022
88,003XX000005Sij0phX,2018-12-24,20.0,one_time,Spring Appeal 2023
89,003XX000005Sij0phX,2021-10-20,20.0,one_time,Year-End Appeal 2021
90,003XX000005Sij0phX,2022-11-18,20.0,one_time,Year-End Appeal 2021
91,003XX000005Sij0phX,2023-02-28,20.0,one_time,Spring Gala 2023
92,003XX00000biZBVFlU,2019-11-16,175,one_time,Spring Gala 2022
93,003XX00000biZBVFlU,2020-11-26,75,recurring,Spring Appeal 2024
94,003XX00000MuyDG2LU,2020-07-19,20.0,one_time,Year-End Appeal 2022
95,003XX00000MuyDG2LU,2020-08-06,20.0,recurring,Planned Giving Society
96,003XX00000MuyDG2LU,2020-11-14,30,one_time,Major Gift Initiative 2022
97,003XX00000MuyDG2LU,2020-12-20,20.0,recurring,Spring Appeal 2022
98,003XX00000MuyDG2LU,2021-08-31,20.0,planned_giving,Spring Appeal 2024
99,003XX00000qZ0eFBvS,2022-03-10,20.0,recurring,Spring Gala 2023
100,003XX00000qZ0eFBvS,2022-04-13,30,one_time,Planned Giving Society
101,003XX00000qZ0eFBvS,2022-06-15,40,recurring,Year-End Appeal 2021
102,003XX00000qZ0eFBvS,2024-03-31,20.0,one_time,Annual Fund 2021
103,003XX00000qZ0eFBvS,2024-03-31,25,one_time,Major Gift Initiative 2022
104,003XX00000EQCDwfmf,2013-06-19,100,one_time,Year-End Appeal 2024
105,003XX00000EQCDwfmf,2013-06-22,50,one_time,Spring Appeal 2022
106,003XX00000EQCDwfmf,2013-10-18,75,recurring,Year-End Appeal 2024
107,003XX00000EQCDwfmf,2014-02-25,45,recurring,Annual Fund 2023
108,003XX00000EQCDwfmf,2014-10-13,150,recurring,
109,003XX00000EQCDwfmf,2014-12-24,50,recurring,Planned Giving Society
110,003XX00000EQCDwfmf,2016-10-24,30,one_time,
111,003XX00000EQCDwfmf,2016-12-16,40,event,Year-End Appeal 2021
112,003XX00000EQCDwfmf,2018-12-18,75,one_time,Annual Fund 2022
113,003XX00000EQCDwfmf,2019-11-22,40,recurring,
114,003XX00000EQCDwfmf,2019-12-06,30,event,Annual Fund 2020
115,003XX00000EQCDwfmf,2020-01-18,75,one_time,Spring Gala 2022
116,003XX00000EQCDwfmf,2020-01-18,50,recurring,Spring Appeal 2022
117,003XX00000EQCDwfmf,2020-01-18,45,one_time,Spring Gala 2023
118,003XX00000GGbTHWvc,2021-06-30,35,one_time,Year-End Appeal 2021
119,003XX00000s40UBk4w,2025-09-25,20.0,one_time,Annual Fund 2021
120,003XX00000s40UBk4w,2025-10-06,20.0,recurring,Spring Appeal 2022
121,003XX00000s40UBk4w,2025-11-06,20.0,recurring,
122,003XX00000jdKYmqYY,2018-10-20,20.0,recurring,Spring Appeal 2023
123,003XX00000jdKYmqYY,2019-02-19,20.0,recurring,Year-End Appeal 2022
124,003XX00000jdKYmqYY,2019-09-26,20.0,event,
125,003XX00000cNSgmkA9,2022-11-07,20.0,event,Spring Appeal 2023
126,003XX00000cNSgmkA9,2022-11-07,20.0,one_time,Major Gift Initiative 2022
127,003XX00000cNSgmkA9,2022-11-07,20.0,recurring,
128,003XX00000cNSgmkA9,2023-03-15,20.0,one_time,Annual Fund 2023
129,003XX00000SCeM5UAp,2018-10-06,25,event,
130,003XX00000HrD6JZkx,2021-06-11,20.0,recurring,Planned Giving Society
131,003XX00000HrD6JZkx,2022-10-07,20.0,one_time,Annual Fund 2022
132,003XX00000HrD6JZkx,2022-12-25,20.0,one_time,Annual Fund 2022
133,003XX00000HrD6JZkx,2023-10-17,20.0,event,
134,003XX00000IssGlL5Y,2022-12-21,40,one_time,Spring Appeal 2024
135,003XX00000IssGlL5Y,2022-12-21,50,one_time,Spring Gala 2022
136,003XX00000IssGlL5Y,2022-12-21,75,one_time,Annual Fund 2023
137,003XX00000IssGlL5Y,2023-08-08,200,recurring,Spring Appeal 2023
138,003XX00000IssGlL5Y,2023-10-06,50,recurring,Annual Fund 2021
139,003XX00000IssGlL5Y,2023-10-19,25,recurring,Spring Gala 2022
140,003XX00000IssGlL5Y,2023-10-19,175,planned_giving,
141,003XX00000IssGlL5Y,2023-10-19,100,one_time,Year-End Appeal 2024
142,003XX00000IssGlL5Y,2023-10-19,75,recurring,Year-End Appeal 2021
143,003XX000000Ac6C5lv,2025-08-07,25,recurring,Year-End Appeal 2021
144,003XX00000zlL3l2gu,2025-12-11,20.0,one_time,Annual Fund 2022
145,003XX00000zlL3l2gu,2025-12-17,20.0,recurring,Annual Fund 2021
146,003XX00000zlL3l2gu,2026-01-21,20.0,event,Annual Fund 2021
147,003XX00000zlL3l2gu,2026-01-21,20.0,event,
148,003XX00000zlL3l2gu,2026-01-21,20.0,one_time,Year-End Appeal 2024
149,003XX00000ifVHfPhx,2021-08-16,75,one_time,
150,003XX00000tp6rEKGD,2019-10-13,400,one_time,Year-End Appeal 2021
151,003XX00000JAgvIRhq,2013-02-06,20.0,planned_giving,Major Gift Initiative 2022
152,003XX00000JAgvIRhq,2015-11-28,20.0,recurring,
153,003XX00000JAgvIRhq,2017-10-23,20.0,one_time,
154,003XX00000JAgvIRhq,2018-10-11,20.0,one_time,
155,003XX00000JAgvIRhq,2019-10-20,20.0,recurring,Year-End Appeal 2024
156,003XX00000LgPmLuZG,2026-02-03,20.0,one_time,
157,003XX00000LgPmLuZG,2026-02-23,20.0,event,
158,003XX00000LgPmLuZG,2026-02-23,20.0,recurring,Year-End Appeal 2023
159,003XX00000LgPmLuZG,2026-02-23,20.0,recurring,Spring Appeal 2024
160,003XX00000LgPmLuZG,2026-02-23,20.0,one_time,Annual Fund 2022
161,003XX00000p98ujFaw,2015-11-05,20.0,one_time,
162,003XX00000p98ujFaw,2018-01-07,35,one_time,Year-End Appeal 2021
163,003XX00000kqMIq34a,2022-10-24,50,recurring,Major Gift Initiative 2022
164,003XX00000c332FUos,2021-01-21,20.0,one_time,Spring Appeal 2023
165,003XX00000c332FUos,2021-02-01,20.0,one_time,
166,003XX00000c332FUos,2021-05-15,20.0,recurring,
167,003XX00000c332FUos,2022-10-25,20.0,one_time,Annual Fund 2020
168,003XX00000c332FUos,2023-12-05,20.0,planned_giving,
169,003XX00000lPhmizDJ,2022-09-30,1200,recurring,
170,003XX00000lPhmizDJ,2022-09-30,550,one_time,Year-End Appeal 2024
171,003XX00000lPhmizDJ,2022-09-30,450,recurring,Annual Fund 2023
172,003XX00000lPhmizDJ,2022-09-30,400,one_time,Major Gift Initiative 2022
173,003XX00000metey2OS,2021-10-06,125,event,Major Gift Initiative 2022
174,003XX00000metey2OS,2021-10-14,125,one_time,
175,003XX00000metey2OS,2021-10-15,350,one_time,
176,003XX00000metey2OS,2021-12-06,50,recurring,Year-End Appeal 2021
177,003XX00000metey2OS,2021-12-08,150,one_time,
178,003XX00000metey2OS,2021-12-16,100,one_time,
179,003XX00000metey2OS,2021-12-18,225,one_time,
180,003XX00000metey2OS,2021-12-25,125,one_time,
181,003XX00000metey2OS,2022-06-06,225,recurring,Spring Gala 2023
182,003XX00000metey2OS,2022-08-18,75,one_time,
183,003XX00000metey2OS,2022-09-16,125,one_time,Annual Fund 2021
184,003XX00000metey2OS,2022-10-16,250,one_time,Annual Fund 2021
185,003XX00000metey2OS,2022-11-02,150,one_time,
186,003XX00000metey2OS,2022-11-09,125,recurring,Spring Gala 2022
187,003XX00000w2cBdVcK,2019-05-06,20.0,one_time,
188,003XX00000w2cBdVcK,2021-10-10,25,one_time,Spring Appeal 2024
189,003XX00000w2cBdVcK,2022-02-04,40,one_time,
190,003XX00000GyvXeoFy,2025-09-22,50,one_time,Annual Fund 2023
191,003XX00000GyvXeoFy,2025-12-07,50,recurring,Annual Fund 2020
192,003XX00000GyvXeoFy,2026-01-02,50,recurring,Annual Fund 2021
193,003XX00000GyvXeoFy,2026-01-02,200,recurring,
194,003XX00000cayXNaAe,2020-10-18,20.0,recurring,
195,003XX00000cayXNaAe,2021-10-09,20.0,one_time,Annual Fund 2023
196,003XX00000cayXNaAe,2021-11-12,20.0,recurring,
197,003XX00000cayXNaAe,2021-11-28,35,one_time,Planned Giving Society
198,003XX00000cayXNaAe,2021-12-10,20.0,one_time,
199,003XX00000NtVnuHKY,2018-10-15,20.0,recurring,Annual Fund 2020
200,003XX00000NtVnuHKY,2018-11-11,20.0,one_time,Year-End Appeal 2021
201,003XX00000NtVnuHKY,2018-11-11,20.0,one_time,Year-End Appeal 2023
202,003XX000001XNde3I5,2016-11-18,350,one_time,Year-End Appeal 2024
203,003XX000001XNde3I5,2018-11-24,150,one_time,Major Gift Initiative 2022
204,003XX00000jMqmU5f4,2015-11-13,20.0,one_time,Annual Fund 2023
205,003XX00000jMqmU5f4,2019-08-13,20.0,one_time,Annual Fund 2020
206,003XX00000lWdbPq8y,2023-03-09,20.0,recurring,
207,003XX00000lWdbPq8y,2023-04-08,20.0,recurring,Spring Appeal 2023
208,003XX00000lWdbPq8y,2023-04-08,20.0,recurring,Year-End Appeal 2024
209,003XX000000srxZ4HI,2023-04-04,200,one_time,Year-End Appeal 2022
210,003XX00000h7Ba4XTX,2025-11-16,35,recurring,Spring Gala 2023
211,003XX000000QRJqOOJ,2012-12-18,20.0,one_time,
212,003XX000000QRJqOOJ,2014-11-16,20.0,one_time,Spring Gala 2023
213,003XX000000QRJqOOJ,2014-11-20,100,recurring,Annual Fund 2020
214,003XX00000athUrvnL,2018-06-11,175,recurring,
215,003XX00000athUrvnL,2018-11-07,175,recurring,Year-End Appeal 2022
216,003XX00000kA8o6Utt,2022-11-17,20.0,one_time,
217,003XX00000tcw0CZrT,2020-06-23,45,one_time,Spring Appeal 2023
218,003XX00000tcw0CZrT,2020-07-21,30,one_time,
219,003XX00000BDamHNPV,2017-09-23,20.0,one_time,Spring Gala 2023
220,003XX00000BDamHNPV,2017-10-17,20.0,event,Spring Appeal 2022
221,003XX00000BDamHNPV,2018-04-18,20.0,one_time,Annual Fund 2020
222,003XX00000BDamHNPV,2018-04-18,20.0,recurring,
223,003XX00000o1rjxriH,2020-09-18,45,one_time,Annual Fund 2020
224,003XX000007moKD5QP,2010-11-15,20.0,one_time,Annual Fund 2023
225,003XX000007moKD5QP,2012-10-19,20.0,one_time,Annual Fund 2020
226,003XX000007moKD5QP,2014-11-14,20.0,one_time,Planned Giving Society
227,003XX000007moKD5QP,2015-01-16,20.0,recurring,Year-End Appeal 2022
228,003XX00000H512tR0B,2020-11-07,50,recurring,Annual Fund 2020
229,003XX00000kmUPGOVD,2021-10-23,25,event,Annual Fund 2021
230,003XX000006SOyo689,2025-04-02,20.0,one_time,Spring Gala 2022
231,003XX000006SOyo689,2025-04-02,20.0,recurring,Spring Appeal 2022
232,003XX000006SOyo689,2025-04-02,20.0,one_time,
233,003XX000006SOyo689,2025-04-02,20.0,recurring,
234,003XX00000nxoM3cON,2021-10-01,30,one_time,
235,003XX00000r99ut4AS,2016-03-19,45,one_time,Year-End Appeal 2022
236,003XX00000r99ut4AS,2021-10-15,50,recurring,Annual Fund 2022
237,003XX00000YAH4UueE,2012-11-06,25,one_time,Major Gift Initiative 2022
238,003XX000008pEB4bft,2012-12-27,20.0,one_time,Annual Fund 2021
239,003XX000008pEB4bft,2013-08-27,20.0,recurring,
240,003XX000008pEB4bft,2015-11-06,25,recurring,Annual Fund 2022
241,003XX000008pEB4bft,2016-08-09,20.0,recurring,Year-End Appeal 2021
242,003XX000008pEB4bft,2016-08-20,20.0,one_time,
243,003XX00000Afse568X,2025-09-30,45,one_time,Spring Appeal 2024
244,003XX00000Afse568X,2025-09-30,100,one_time,Spring Gala 2023
245,003XX00000Afse568X,2025-12-14,125,one_time,Year-End Appeal 2021
246,003XX00000Afse568X,2026-02-21,175,one_time,Annual Fund 2020
247,003XX00000Afse568X,2026-02-21,75,recurring,Spring Gala 2022
248,003XX00000Afse568X,2026-02-21,75,one_time,
249,003XX00000FFt6uHW0,2009-10-25,30,one_time,Spring Appeal 2024
250,003XX00000FFt6uHW0,2011-12-21,20.0,recurring,Planned Giving Society
251,003XX00000FFt6uHW0,2012-11-25,20.0,event,Annual Fund 2020
252,003XX00000FFt6uHW0,2014-12-15,20.0,one_time,Year-End Appeal 2021
253,003XX000006a05F8LD,2022-12-17,30,one_time,Spring Appeal 2022
254,003XX00000s1hZrYyw,2022-10-08,50,recurring,Spring Appeal 2022
255,003XX00000QG8N7wHg,2016-10-04,20.0,one_time,Spring Gala 2022
256,003XX00000QG8N7wHg,2017-12-16,20.0,recurring,Annual Fund 2023
257,003XX00000QG8N7wHg,2020-11-26,20.0,recurring,Spring Appeal 2024
258,003XX000007gs5OnFS,2010-05-09,25,recurring,
259,003XX00000LbG6mSdv,2022-10-21,20.0,recurring,Annual Fund 2022
260,003XX00000LbG6mSdv,2022-11-13,30,one_time,Spring Appeal 2022
261,003XX00000LbG6mSdv,2023-11-25,20.0,one_time,Annual Fund 2022
262,003XX00000LbG6mSdv,2024-01-30,20.0,event,
263,003XX000008g8HNmNL,2022-11-08,20.0,one_time,Spring Gala 2022
264,003XX000008g8HNmNL,2024-08-14,20.0,one_time,
265,003XX000008g8HNmNL,2024-09-07,20.0,one_time,Spring Gala 2022
266,003XX000008g8HNmNL,2024-11-03,20.0,event,
267,003XX0000064GFzFB5,2022-08-25,45,one_time,
268,003XX0000064GFzFB5,2022-08-25,30,event,Annual Fund 2023
269,003XX000003BIFqHQM,2018-10-12,20.0,recurring,Spring Appeal 2024
270,003XX000003BIFqHQM,2019-11-27,20.0,recurring,Year-End Appeal 2022
271,003XX00000pgOdeRvd,2019-03-03,30,recurring,Year-End Appeal 2023
272,003XX00000KJFStct9,2021-11-11,20.0,one_time,Spring Gala 2022
273,003XX00000KJFStct9,2021-11-23,20.0,one_time,Year-End Appeal 2021
274,003XX00000KJFStct9,2022-10-16,20.0,event,Major Gift Initiative 2022
275,003XX00000KJFStct9,2022-12-05,20.0,one_time,Planned Giving Society
276,003XX00000KJFStct9,2023-04-26,20.0,recurring,
277,003XX00000ac8xR8eq,2019-07-08,20.0,one_time,Year-End Appeal 2023
278,003XX00000uYYAy2cD,2022-04-26,20.0,one_time,
279,003XX00000uYYAy2cD,2022-10-09,20.0,one_time,Spring Gala 2023
280,003XX00000uYYAy2cD,2022-11-01,20.0,one_time,Spring Appeal 2022
281,003XX00000uYYAy2cD,2023-12-03,20.0,one_time,Year-End Appeal 2024
282,003XX00000uYYAy2cD,2024-03-04,20.0,recurring,Annual Fund 2022
283,003XX00000G2tX85DP,2011-06-13,100,one_time,Spring Gala 2022
284,003XX00000G2tX85DP,2013-11-13,200,recurring,Spring Appeal 2022
285,003XX0000030xbm2jH,2011-09-05,20.0,recurring,Annual Fund 2023
286,003XX0000030xbm2jH,2014-11-05,20.0,event,
287,003XX0000030xbm2jH,2014-11-25,20.0,one_time,Year-End Appeal 2024
288,003XX000009AsyEHLC,2020-06-07,100,one_time,
289,003XX000009AsyEHLC,2020-09-15,50,one_time,Year-End Appeal 2022
290,003XX000009AsyEHLC,2020-10-25,75,event,Spring Gala 2022
291,003XX000009AsyEHLC,2021-04-17,150,one_time,Annual Fund 2023
292,003XX000009AsyEHLC,2021-04-17,450,one_time,Annual Fund 2022
293,003XX00000oOoLfbTi,2021-01-09,35,one_time,
294,003XX000008xuNEJUc,2024-04-07,75,recurring,Annual Fund 2022
295,003XX00000qmnOVg72,2026-02-24,20.0,one_time,
296,003XX00000qmnOVg72,2026-02-24,20.0,one_time,Spring Appeal 2023
297,003XX00000qmnOVg72,2026-02-24,20.0,one_time,Year-End Appeal 2022
298,003XX00000qmnOVg72,2026-02-24,20.0,one_time,Annual Fund 2021
299,003XX000004QtVyTZj,2021-08-05,20.0,one_time,Annual Fund 2021
300,003XX000004QtVyTZj,2021-08-05,20.0,one_time,
301,003XX000004QtVyTZj,2021-09-14,20.0,one_time,
302,003XX000004QtVyTZj,2021-09-14,20.0,one_time,Year-End Appeal 2022
303,003XX00000ItQFEsvZ,2017-12-01,20.0,event,Spring Gala 2023
304,003XX00000ItQFEsvZ,2017-12-22,20.0,one_time,
305,003XX00000ItQFEsvZ,2022-02-02,25,recurring,
306,003XX00000ItQFEsvZ,2022-09-29,20.0,one_time,Spring Gala 2023
307,003XX00000XuKuKb8C,2020-09-17,20.0,planned_giving,Spring Gala 2022
308,003XX00000XuKuKb8C,2020-10-06,20.0,one_time,Year-End Appeal 2023
309,003XX00000XuKuKb8C,2020-10-06,20.0,one_time,Annual Fund 2020
310,003XX00000cFmkEn2V,2021-09-09,20.0,one_time,
311,003XX00000cFmkEn2V,2021-11-02,30,recurring,
312,003XX000009rQDjBsd,2017-07-10,20.0,recurring,
313,003XX000009rQDjBsd,2019-01-04,20.0,one_time,Annual Fund 2022
314,003XX00000LvJQKClq,2023-08-07,40,one_time,Spring Appeal 2024
315,003XX00000FPq0XdVd,2012-11-16,75,one_time,
316,003XX00000FPq0XdVd,2016-12-22,150,one_time,Spring Gala 2022
317,003XX00000FPq0XdVd,2017-10-20,150,one_time,
318,003XX00000FPq0XdVd,2018-12-20,225,recurring,Spring Appeal 2022
319,003XX00000ieO5Il0G,2025-10-24,20.0,planned_giving,Year-End Appeal 2023
320,003XX00000ieO5Il0G,2025-10-24,20.0,one_time,Spring Appeal 2023
321,003XX00000ieO5Il0G,2025-12-02,20.0,event,Spring Appeal 2024
322,003XX00000ieO5Il0G,2025-12-08,20.0,recurring,Annual Fund 2021
323,003XX00000ieO5Il0G,2025-12-08,20.0,one_time,Planned Giving Society
324,003XX00000t6UPjdFW,2026-02-12,20.0,recurring,Planned Giving Society
325,003XX00000t6UPjdFW,2026-02-12,20.0,recurring,
326,003XX00000t6UPjdFW,2026-02-12,20.0,recurring,
327,003XX00000w72hsl9s,2011-11-01,20.0,one_time,Spring Gala 2022
328,003XX00000w72hsl9s,2012-05-05,20.0,recurring,Year-End Appeal 2023
329,003XX00000w72hsl9s,2018-12-28,20.0,one_time,Year-End Appeal 2024
330,003XX00000w72hsl9s,2019-10-11,20.0,recurring,
331,003XX000002DwEdbdG,2025-07-10,20.0,one_time,
332,003XX000002DwEdbdG,2025-09-11,20.0,recurring,Spring Appeal 2022
333,003XX000002DwEdbdG,2025-11-21,20.0,planned_giving,
334,003XX000002DwEdbdG,2025-12-12,20.0,recurring,
335,003XX000002DwEdbdG,2026-02-18,20.0,one_time,Spring Gala 2023
336,003XX00000nhLwvNfT,2016-04-14,50,one_time,
337,003XX00000nhLwvNfT,2016-05-20,20.0,one_time,
338,003XX000009kDDVhbR,2021-11-27,20.0,one_time,
339,003XX000009kDDVhbR,2021-12-25,20.0,event,Annual Fund 2021
340,003XX000009kDDVhbR,2022-06-11,20.0,one_time,Year-End Appeal 2023
341,003XX000009kDDVhbR,2022-06-11,20.0,recurring,Spring Gala 2022
342,003XX000004fBbBfxw,2024-05-22,350,one_time,Spring Appeal 2023
343,003XX00000vjV21JvM,2015-04-05,30,recurring,Year-End Appeal 2023
344,003XX00000vjV21JvM,2016-11-03,20.0,one_time,
345,003XX00000O6gXGKnm,2022-06-08,35,recurring,
346,003XX00000O6gXGKnm,2022-08-01,20.0,recurring,Year-End Appeal 2021
347,003XX00000O6gXGKnm,2022-08-01,20.0,one_time,Annual Fund 2021
348,003XX00000O6gXGKnm,2022-08-01,25,one_time,Annual Fund 2020
349,003XX00000MIRUnggv,2015-06-11,20.0,recurring,
350,003XX00000MIRUnggv,2015-07-18,20.0,event,Annual Fund 2021
351,003XX00000MIRUnggv,2015-09-11,40,recurring,Spring Appeal 2022
352,003XX00000Vx3u7UGk,2015-10-22,25,one_time,
353,003XX00000tPlvLLoe,2021-12-13,20.0,planned_giving,Spring Appeal 2024
354,003XX00000tPlvLLoe,2022-02-03,20.0,one_time,Major Gift Initiative 2022
355,003XX00000tPlvLLoe,2022-05-04,20.0,one_time,Spring Appeal 2022
356,003XX00000KGLJmUco,2022-08-11,20.0,one_time,
357,003XX00000KGLJmUco,2022-10-18,20.0,one_time,
358,003XX00000ewRqDzLF,2021-05-13,20.0,one_time,
359,003XX0000099zXzCIP,2021-12-16,25,one_time,Spring Gala 2023
360,003XX0000099zXzCIP,2021-12-16,20.0,recurring,Annual Fund 2020
361,003XX0000099zXzCIP,2022-07-14,20.0,one_time,Annual Fund 2022
362,003XX00000z26ieH9d,2012-12-28,20.0,one_time,
363,003XX00000z26ieH9d,2016-10-10,20.0,one_time,Planned Giving Society
364,003XX000003ZK0LRg4,2019-12-04,250,recurring,Year-End Appeal 2023
365,003XX000003ZK0LRg4,2019-12-04,100,one_time,Spring Gala 2022
366,003XX000003ZK0LRg4,2019-12-04,125,recurring,Spring Gala 2022
367,003XX000003ZK0LRg4,2019-12-04,300,one_time,
368,003XX000003ZK0LRg4,2019-12-04,450,recurring,
369,003XX000003ZK0LRg4,2019-12-04,250,recurring,
370,003XX000003ZK0LRg4,2019-12-04,50,recurring,Spring Appeal 2022
371,003XX000003ZK0LRg4,2019-12-04,75,planned_giving,
372,003XX000003ZK0LRg4,2019-12-04,75,one_time,Spring Appeal 2024
373,003XX000003ZK0LRg4,2019-12-04,150,recurring,Major Gift Initiative 2022
